Activity Type,Date,Favorite,Title,Distance,Calories,Total Time,Avg HR,Max HR,Aerobic TE,Avg Bike Cadence,Max Bike Cadence,Avg Speed,Max Speed,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg GAP,Normalized Power® (NP®),Training Stress Score®,Avg Power,Max Power,Total Strokes,Avg. Swolf,Avg Stroke Rate,Steps,Total Reps,Total Sets,Body Battery Drain,Min Temp,Decompression,Best Lap Time,Number of Laps,Max Temp,Avg Resp,Min Resp,Max Resp,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Cycling,2025-06-11 13:21:39,false,"Eindhoven Ciclismo","27.59","997","01:06:52","150","171","3.7","--","--","24.8","33.6","84","101","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","--","-13","--","No","00:06:35.6","6","--","--","--","--","01:06:34","01:06:52","15","43"
Multisport,2025-06-09 10:59:47,false,"Eindhoven Multideporte","49.42","2,533","02:56:38","--","176","5.0","--","--","16.8","--","207","193","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","--","--","--","No","--:--:--","5","--","--","--","--","--:--:--","02:56:38","2","24"
Running,2025-06-06 19:28:43,false,"Eindhoven Carrera","8.08","737","00:46:58","154","165","3.5","161","177","5:49","4:44","6","6","1.07","8.2","8.8","265","5:47","400","0.0","385","543","--","--","--","7,588","--","--","-8","--","No","00:00:27.5","9","--","--","--","--","00:45:37","00:46:58","14","20"
Running,2025-06-04 19:21:38,false,"Eindhoven Carrera","5.00","431","00:26:01","157","170","3.3","170","178","5:12","4:31","7","9","1.13","7.9","8.9","257","5:11","434","0.0","431","540","--","--","--","4,422","--","--","-4","--","No","00:04:51.1","5","--","--","--","--","00:26:00","00:26:01","14","20"
Cycling,2025-06-03 15:36:08,false,"Eindhoven Ciclismo","23.02","907","01:00:14","156","172","3.8","--","--","22.9","33.1","101","118","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","--","-9","--","No","00:10:11","5","--","--","--","--","00:58:33","01:00:14","16","38"
Cardio,2025-06-02 19:39:08,false,"CrossFit","0.00","518","00:36:55","151","184","3.2","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","2,720","--","--","-4","--","No","00:36:55","1","--","--","--","--","00:00:00","00:36:55","--","--"
Running,2025-06-01 17:46:51,false,"Eindhoven Carrera","21.01","1,928","02:01:05","164","177","5.0","163","176","5:46","3:57","12","33","1.07","8.4","8.9","270","5:46","403","0.0","394","609","--","--","--","19,746","--","--","-17","--","No","00:00:03.6","22","--","--","--","--","01:59:43","02:01:06","11","35"
Cycling,2025-05-30 12:25:31,false,"Helmond Ciclismo","20.20","996","01:05:18","157","172","4.0","--","--","18.6","31.2","94","96","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","--","-12","--","No","00:00:48.9","5","--","--","--","--","01:02:20","01:05:18","12","21"
Open Water Swimming,2025-05-30 10:56:46,false,"Helmond Natación en aguas abiertas","1,625","716","00:47:57","152","178","3.5","--","--","2:57","1:07","--","--","--","--","--","--","--","--","0.0","--","--","1365","65","29","--","--","--","-12","17.0","No","00:03:13.0","4","19.0","--","--","--","00:43:50","01:05:26","--","--"
Cycling,2025-05-30 09:26:11,false,"Eindhoven Ciclismo","17.11","681","00:46:52","157","177","3.6","--","--","21.9","33.0","48","42","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","--","-12","--","No","00:06:51.3","4","--","--","--","--","00:44:03","00:46:52","11","21"
Cardio,2025-05-26 19:40:12,false,"CrossFit","0.00","542","00:38:00","151","178","3.1","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","2,708","--","--","-5","--","No","00:38:00","1","--","--","--","--","00:00:00","00:38:00","--","--"
Running,2025-05-26 14:38:43,false,"Eindhoven Carrera","15.03","1,345","01:28:05","154","169","4.3","162","177","5:51","4:01","26","25","1.05","8.3","8.7","267","5:50","404","0.0","390","617","--","--","--","14,288","--","--","-17","--","No","00:00:11.0","16","--","--","--","--","01:25:38","01:28:05","16","22"
Cycling,2025-05-23 16:05:09,false,"'s-Hertogenbosch Ciclismo","52.12","1,731","02:35:51","144","161","3.7","--","--","20.1","33.8","204","186","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","--","-13","--","No","00:08:00.0","11","--","32","19","41","02:26:09","02:49:35","-1","24"
Cycling,2025-05-23 10:05:09,false,"Eindhoven Ciclismo","43.41","1,574","01:57:58","152","166","3.9","--","--","22.1","31.8","190","200","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","--","-25","--","No","00:09:48.9","9","--","35","21","49","01:56:33","02:13:44","0","26"
Running,2025-05-21 19:41:11,false,"Eindhoven Carrera","5.00","421","00:25:24","159","180","3.3","169","196","5:05","3:03","17","23","1.16","7.8","9.0","256","5:06","454","0.0","446","791","--","--","--","4,310","--","--","-3","--","No","00:00:01.0","6","--","--","--","--","00:25:23","00:25:24","11","21"
Running,2025-05-20 15:50:03,false,"Eindhoven Carrera","10.03","921","01:00:39","154","172","3.7","158","176","6:03","4:25","10","9","1.05","8.4","8.8","269","6:01","390","0.0","374","554","--","--","--","9,624","--","--","-9","--","No","00:00:08.3","11","--","32","14","41","00:57:47","01:00:39","15","21"
Cardio,2025-05-19 19:41:25,false,"CrossFit","0.00","509","00:36:44","148","184","3.0","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","2,346","--","--","-3","--","No","00:36:44","1","--","--","--","--","00:00:00","00:36:44","--","--"
Cycling,2025-05-19 14:15:20,false,"Eindhoven Ciclismo","60.06","2,005","02:47:56","147","165","4.1","--","--","21.5","30.4","161","174","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","--","-21","--","No","00:00:10.1","13","--","33","12","50","02:44:51","03:07:10","17","54"
Running,2025-05-17 10:12:20,false,"Eindhoven Carrera","5.01","446","00:27:18","161","178","3.4","168","179","5:27","4:05","8","4","1.10","8.1","8.8","260","5:24","419","0.0","413","581","--","--","--","4,622","--","--","-5","--","No","00:00:01.8","6","--","--","--","--","00:27:01","00:27:18","15","23"
Cycling,2025-05-16 14:37:43,false,"Eindhoven Ciclismo","41.07","1,471","02:01:50","147","173","4.0","--","--","20.2","30.0","161","159","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","--","-14","--","No","00:03:23.0","9","--","--","--","--","01:57:40","02:06:57","14","26"
Cardio,2025-05-15 20:40:12,false,"CrossFit","0.00","519","00:36:23","152","200","3.2","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","2,446","--","--","-4","--","No","00:36:23","1","--","--","--","--","00:00:00","00:36:23","--","--"
Running,2025-05-13 13:27:25,false,"Eindhoven Carrera","13.02","1,173","01:16:43","155","167","4.0","164","226","5:54","4:03","14","14","1.04","8.5","8.8","271","5:52","398","0.0","388","610","--","--","--","12,572","--","--","-15","--","No","00:00:05.9","14","--","--","--","--","01:16:10","01:16:43","16","25"
Cycling,2025-05-12 14:19:45,false,"Eindhoven Ciclismo","23.09","857","01:04:41","149","174","3.4","--","--","21.4","30.1","66","65","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","--","-10","--","No","00:11:22","5","--","--","--","--","01:01:27","01:04:41","14","24"
Running,2025-05-11 10:16:23,false,"Eindhoven Carrera","12.27","1,170","01:19:49","155","173","3.7","161","180","6:30","4:21","15","15","0.94","8.9","8.3","277","6:30","346","0.0","340","582","--","--","--","13,342","--","--","-19","--","No","00:01:33.4","13","--","35","28","42","01:19:38","01:19:49","15","21"
Running,2025-05-05 09:28:19,false,"Eindhoven Carrera","11.70","1,082","01:12:17","151","170","3.7","158","177","6:11","4:42","16","12","1.02","8.5","8.5","271","6:08","370","0.0","358","514","--","--","--","11,826","--","--","-18","--","No","00:04:06.6","12","--","--","--","--","01:10:52","01:13:34","11","21"
Cycling,2025-05-03 09:02:26,false,"Eindhoven Ciclismo","55.01","1,755","02:17:26","153","174","4.0","--","--","24.0","37.4","169","163","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","--","-23","--","No","00:00:02.2","12","--","33","17","40","02:13:30","02:19:22","14","37"
Cardio,2025-05-02 11:08:49,false,"CrossFit","0.00","425","00:32:48","147","191","2.9","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","2,116","--","--","-5","--","No","00:32:48","1","--","--","--","--","00:00:00","00:32:48","--","--"
Running,2025-05-01 17:44:09,false,"Eindhoven Carrera","4.45","378","00:22:18","164","177","3.3","166","176","5:01","4:05","1","5","1.20","7.8","9.3","256","5:03","461","0.0","451","590","--","--","--","3,700","--","--","-3","--","No","00:02:13.6","5","--","--","--","--","00:22:00","00:22:18","29","34"
Running,2025-04-30 19:43:38,false,"Eindhoven Carrera","5.06","459","00:29:38","154","166","3.2","168","176","5:52","4:41","6","6","1.01","8.5","8.6","269","5:53","388","0.0","384","534","--","--","--","4,978","--","--","-4","--","No","00:00:22.5","6","--","--","--","--","00:29:37","00:29:38","15","21"
Running,2025-04-29 21:35:46,false,"Eindhoven Carrera","4.04","361","00:23:03","156","169","3.0","164","176","5:43","4:21","2","--","1.06","8.4","8.9","271","5:43","401","0.0","396","546","--","--","--","3,784","--","--","-3","--","No","00:00:13.2","5","--","--","--","--","00:22:58","00:23:03","14","17"
Strength Training,2025-04-28 20:37:51,false,"Fuerza","0.00","436","00:38:36","133","166","2.3","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","8","4","1","-3","--","No","00:38:36","1","--","--","--","--","00:38:36","00:38:36","--","--"
Cycling,2025-04-28 15:03:44,false,"Eindhoven Ciclismo","71.06","1,937","03:05:28","143","170","3.8","--","--","23.0","34.8","273","271","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","--","-22","--","No","00:03:10.4","15","--","--","--","--","02:57:27","03:11:05","15","44"
Running,2025-04-27 07:30:52,false,"Eindhoven Carrera","8.02","717","00:46:08","156","167","3.6","164","177","5:45","4:18","9","8","1.06","8.3","8.7","265","5:43","396","0.0","386","562","--","--","--","7,618","--","--","-14","--","No","00:00:05.3","9","--","--","--","--","00:45:28","00:46:08","14","20"
Cardio,2025-04-25 09:12:39,false,"CrossFit","0.00","466","00:37:53","142","207","2.8","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","2,370","--","--","-9","--","No","00:37:53","1","--","--","--","--","00:00:00","00:37:53","--","--"
Running,2025-04-23 19:41:17,false,"Eindhoven Carrera","5.10","454","00:29:08","155","165","3.2","167","176","5:42","4:16","5","8","1.05","8.4","8.8","268","5:45","392","0.0","390","576","--","--","--","4,864","--","--","-5","--","No","00:00:34.3","6","--","--","--","--","00:28:59","00:29:08","15","22"
Cycling,2025-04-22 14:28:09,false,"Eindhoven Ciclismo","50.36","1,442","02:02:12","151","169","3.9","--","--","24.7","35.8","178","179","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","--","-14","--","No","00:00:48.4","11","--","32","20","40","01:57:46","02:02:12","12","28"
Cycling,2025-04-19 17:13:25,false,"Eindhoven Ciclismo","22.07","621","00:53:15","139","163","3.0","--","--","24.9","34.5","78","81","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","--","-7","--","No","00:05:22.1","5","--","--","--","--","00:52:28","00:53:15","13","25"
Running,2025-04-19 10:13:35,false,"Eindhoven Carrera","4.63","430","00:30:45","148","157","2.8","165","174","6:38","4:31","6","4","0.92","9.1","8.3","281","6:35","350","0.0","342","524","--","--","--","5,098","--","--","-8","--","No","00:04:17.2","5","--","--","--","--","00:30:43","00:30:49","10","14"
Running,2025-04-18 21:13:55,false,"Eindhoven Carrera","5.62","495","00:29:59","164","172","3.6","166","176","5:20","4:09","7","7","1.13","8.0","9.0","261","5:20","425","0.0","419","570","--","--","--","4,992","--","--","-5","--","No","00:03:20.7","6","--","--","--","--","00:29:43","00:29:59","11","17"
Cardio,2025-04-16 19:38:44,false,"CrossFit","0.00","505","00:36:53","150","177","3.2","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","1,556","--","--","-4","--","No","00:36:53","1","--","--","--","--","00:00:00","00:36:53","--","--"
Running,2025-04-15 13:43:30,false,"Eindhoven Carrera","15.04","1,383","01:25:11","167","178","4.9","166","175","5:40","4:10","19","20","1.06","8.3","8.8","267","5:40","408","0.0","403","569","--","--","--","14,156","--","--","-16","--","No","00:00:11.6","16","--","--","--","--","01:24:30","01:25:11","11","18"
Running,2025-04-13 14:52:46,false,"Eindhoven Carrera","8.01","696","00:43:44","158","180","4.1","166","237","5:27","4:42","7","11","1.10","8.2","9.0","265","5:27","421","0.0","418","545","--","--","--","7,258","--","--","-8","--","No","00:00:05.0","9","--","--","--","--","00:43:36","00:43:44","11","19"
Cycling,2025-04-11 16:14:16,false,"Veldhoven Ciclismo","40.16","1,274","01:30:46","160","179","4.6","--","--","26.5","37.6","84","84","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","--","-3","--","No","00:00:28.3","9","--","--","--","--","01:30:27","01:31:13","13","27"
Cardio,2025-04-10 09:10:41,false,"CrossFit","0.00","515","00:37:16","152","185","3.5","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","1,724","--","--","-9","--","No","00:37:16","1","--","--","--","--","00:00:00","00:37:16","--","--"
Running,2025-04-08 10:46:34,false,"Eindhoven Carrera","13.45","1,254","01:17:18","170","181","5.0","164","176","5:45","4:47","13","10","1.06","8.3","8.8","266","5:44","397","0.0","388","510","--","--","--","12,732","--","--","-14","--","No","00:03:47.9","14","--","--","--","--","01:16:05","01:21:30","14","21"
Cycling,2025-04-07 14:54:57,false,"Eindhoven Ciclismo","35.84","1,236","02:30:54","124","145","2.3","--","--","14.3","23.0","31","52","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","--","-10","--","No","00:03:02.3","8","--","--","--","--","02:23:07","03:12:36","9","36"
Running,2025-04-07 10:53:58,false,"Eindhoven - Base","6.01","542","00:37:24","156","168","3.3","164","176","6:14","4:34","4","7","0.97","8.8","8.5","276","6:14","369","0.0","362","577","--","--","--","6,160","--","--","-10","--","No","00:01:24.1","7","--","--","--","--","00:37:22","00:37:24","9","16"
Running,2025-04-02 19:44:02,false,"Eindhoven Carrera","5.08","448","00:29:06","154","179","3.4","169","233","5:44","2:15","10","12","1.02","8.4","8.5","265","5:45","389","0.0","387","938","--","--","--","4,930","--","--","-6","--","No","00:00:13.5","6","--","--","--","--","00:29:02","00:29:06","16","23"
Running,2025-03-30 10:20:04,false,"Eindhoven Carrera","17.02","1,540","01:49:30","149","165","4.1","161","177","6:26","4:49","27","26","0.98","8.7","8.3","277","6:26","341","0.0","336","499","--","--","--","18,260","--","--","-25","--","No","00:00:07.0","18","--","--","--","--","01:49:27","01:49:30","17","24"
Running,2025-03-27 18:02:35,false,"Eindhoven Carrera","11.43","1,060","01:08:19","162","174","4.3","165","179","5:59","4:16","7","5","1.02","8.5","8.7","271","5:58","379","0.0","374","547","--","--","--","11,270","--","--","-12","--","No","00:02:35.3","12","--","--","--","--","01:07:44","01:08:19","15","20"
Cardio,2025-03-27 09:07:49,false,"CrossFit","0.00","463","00:33:07","156","180","3.4","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","1,764","--","--","-7","--","No","00:33:07","1","--","--","--","--","00:00:00","00:33:07","--","--"
Running,2025-03-26 19:39:54,false,"Eindhoven Carrera","5.03","462","00:28:06","167","190","3.9","166","176","5:35","3:47","4","4","1.08","8.3","8.9","267","5:35","421","0.0","404","601","--","--","--","4,678","--","--","-8","--","No","00:00:09.0","6","--","--","--","--","00:28:00","00:28:06","16","21"
Running,2025-03-24 20:04:04,false,"Eindhoven Carrera","3.70","324","00:20:00","161","178","3.3","164","247","5:24","4:16","2","6","1.13","8.0","9.0","264","5:22","419","0.0","410","545","--","--","--","3,316","--","--","-5","--","No","00:03:41.8","4","--","--","--","--","00:19:59","00:20:00","11","16"
Running,2025-03-20 20:52:06,false,"Eindhoven Carrera","8.02","723","00:47:38","156","178","3.9","153","177","5:57","4:26","11","6","1.11","8.1","8.8","262","5:57","405","0.0","373","552","--","--","--","7,380","--","--","-6","--","No","00:00:07.6","9","--","--","--","--","00:44:32","00:47:38","14","21"
Running,2025-03-16 10:11:14,false,"Eindhoven Carrera","12.13","1,136","01:16:40","155","167","4.0","164","174","6:19","4:59","19","18","0.97","8.7","8.4","275","6:19","352","0.0","350","477","--","--","--","12,778","--","--","-18","--","No","00:00:51.9","13","--","--","--","--","01:16:27","01:16:40","17","23"
Running,2025-03-09 19:48:53,false,"La Plata Carrera","5.63","505","00:32:36","157","167","3.4","165","171","5:48","5:18","--","1","1.05","8.5","8.9","273","5:48","387","0.0","385","440","--","--","--","5,358","--","--","-5","--","No","00:03:33.1","6","--","--","--","--","00:32:35","00:32:36","4","7"
Running,2025-03-06 20:35:34,false,"La Plata Carrera","5.07","449","00:27:15","167","180","3.6","167","174","5:23","4:54","5","3","1.12","8.1","9.1","266","5:23","422","0.0","420","505","--","--","--","4,522","--","--","-5","--","No","00:00:21.8","6","--","--","--","--","00:27:14","00:27:15","7","12"
Running,2025-03-05 09:00:27,false,"La Plata Carrera","12.04","1,141","01:16:04","166","182","4.6","152","250","6:19","3:56","27","27","1.03","8.1","8.3","276","6:15","383","0.0","348","604","--","--","--","11,622","--","--","-20","--","No","00:00:14.5","13","--","--","--","--","01:15:10","01:16:04","13","28"
Hiking,2025-03-03 08:12:22,false,"Calamuchita Senderismo","6.11","608","01:56:57","96","152","2.1","70","233","19:08","8:51","159","420","0.75","--","--","--","--","--","0.0","--","--","--","--","--","9,970","--","--","-5","--","No","01:56:57","1","--","--","--","--","01:35:01","01:56:57","1,878","2,165"
Hiking,2025-03-02 08:11:39,false,"Calamuchita Senderismo","11.58","3,335","07:48:24","120","170","3.6","22","238","40:27","3:01","842","828","1.10","--","--","--","--","--","0.0","--","--","--","--","--","18,674","--","--","-2","--","No","07:48:24","1","--","--","--","--","03:14:33","07:58:16","2,138","2,808"
Hiking,2025-03-01 11:01:42,false,"Calamuchita Senderismo","14.45","3,425","07:14:27","130","174","3.9","33","245","30:05","7:38","1,140","338","1.00","--","--","--","--","--","0.0","--","--","--","--","--","22,592","--","--","-34","--","No","07:14:27","1","--","--","--","--","04:10:46","07:14:27","1,333","2,160"
Running,2025-02-24 20:11:39,false,"La Plata Carrera","4.79","422","00:25:13","172","185","3.8","169","187","5:16","4:09","1","2","1.13","8.0","8.9","258","5:12","451","0.0","430","543","--","--","--","4,254","--","--","-7","--","No","00:04:23.3","5","--","--","--","--","00:25:11","00:25:13","8","10"
Running,2025-02-22 08:28:04,false,"La Plata Carrera","11.01","1,024","01:06:23","166","180","4.9","158","241","6:02","4:37","36","25","1.05","8.2","8.6","270","5:58","393","0.0","371","556","--","--","--","10,502","--","--","-11","--","No","00:00:02.2","12","--","--","--","--","01:05:59","01:06:23","9","28"
Running,2025-02-20 18:20:47,false,"La Plata Carrera","5.02","472","00:28:03","171","184","4.0","160","181","5:35","4:27","17","13","1.12","8.1","9.0","264","5:34","418","0.0","407","529","--","--","--","4,532","--","--","--","--","No","00:00:07.6","6","--","--","--","--","00:27:12","00:28:03","8","22"
Running,2025-02-19 19:45:05,false,"La Plata Carrera","3.60","247","00:15:38","162","190","3.4","164","196","4:20","3:01","5","--","1.38","6.8","9.4","227","4:19","529","0.0","514","739","--","--","--","2,652","--","--","-5","--","No","00:02:54.7","4","--","--","--","--","00:15:13","00:25:49","8","12"
Running,2025-02-15 09:55:42,false,"Olavarría Carrera","6.62","598","00:34:42","175","185","4.6","168","186","5:15","4:05","10","10","1.13","7.9","9.0","259","5:14","438","0.0","433","663","--","--","--","5,816","--","--","-11","--","No","00:03:21.6","7","--","--","--","--","00:34:40","00:34:42","161","166"
Running,2025-02-13 19:43:30,false,"La Plata Carrera","4.40","390","00:21:59","174","180","3.8","167","178","5:00","4:18","1","--","1.20","7.8","9.3","257","5:00","450","0.0","445","556","--","--","--","3,672","--","--","-3","--","No","00:02:05.9","5","--","--","--","--","00:21:57","00:21:59","10","12"
Hiking,2025-02-11 08:19:22,false,"Ushuaia Senderismo","9.71","936","03:08:30","94","143","1.6","59","250","19:24","9:04","277","274","0.87","--","--","--","--","--","0.0","--","--","--","--","--","14,730","--","--","-17","--","No","03:08:30","1","--","--","--","--","02:17:10","03:08:30","248","407"
Hiking,2025-02-10 09:20:37,false,"Ushuaia Senderismo","12.73","1,904","04:42:41","112","154","2.8","57","243","22:13","4:50","629","632","0.79","--","--","--","--","--","0.0","--","--","--","--","--","20,768","--","--","-15","--","No","04:42:41","1","--","--","--","--","03:00:53","04:42:42","185","737"
Hiking,2025-02-09 09:35:24,false,"Ushuaia Senderismo","20.19","2,090","06:23:45","100","151","1.4","67","247","19:00","4:50","427","550","0.78","--","--","--","--","--","0.0","--","--","--","--","--","30,526","--","--","-37","--","No","06:23:45","1","--","--","--","--","04:40:22","07:02:22","6","140"
Hiking,2025-02-07 11:39:24,false,"Lago Argentino Senderismo","5.68","865","02:25:16","103","147","2.0","45","160","25:36","8:30","259","270","0.87","--","--","--","--","--","0.0","--","--","--","--","--","8,740","--","--","-10","--","No","02:25:16","1","--","--","--","--","01:19:40","02:25:16","513","734"
Hiking,2025-02-06 07:51:46,false,"Lago Argentino Senderismo","24.01","3,315","09:20:38","104","156","2.4","55","200","23:21","5:40","1,573","1,581","0.77","--","--","--","--","--","0.0","--","--","--","--","--","38,652","--","--","-31","--","No","09:20:38","1","--","--","--","--","06:24:20","09:20:38","403","1,223"
Hiking,2025-02-05 10:47:09,false,"Laguna torre Senderismo","18.93","2,094","05:53:16","106","147","1.3","71","188","18:40","6:07","557","550","0.75","--","--","--","--","--","0.0","--","--","--","--","--","30,102","--","--","-32","--","No","05:53:16","1","--","--","--","--","04:46:14","06:51:59","426","658"
Running,2025-01-31 19:57:28,false,"La Plata Carrera","3.51","314","00:18:30","168","179","3.3","157","176","5:16","4:23","1","--","1.20","7.7","9.2","254","5:16","453","0.0","427","582","--","--","--","2,928","--","--","--","--","No","00:03:53.4","4","--","--","--","--","00:17:35","00:18:30","8","10"
Running,2025-01-30 06:48:36,false,"La Plata Carrera","10.63","1,041","01:00:44","175","186","4.8","163","247","5:43","4:16","37","18","1.07","8.2","8.7","266","5:40","406","0.0","393","564","--","--","--","9,922","--","--","-9","--","No","00:03:31.0","11","--","--","--","--","01:00:31","01:00:44","10","43"
Running,2025-01-25 10:12:38,false,"Eindhoven Carrera","5.00","480","00:31:14","150","166","3.1","164","194","6:15","4:47","6","11","0.97","8.7","8.5","274","6:15","361","0.0","355","509","--","--","--","5,186","--","--","-8","--","No","00:00:02.7","6","--","34","17","42","00:31:03","00:31:14","8","17"
Running,2025-01-22 19:41:22,false,"Eindhoven Carrera","5.01","410","00:27:31","138","149","3.0","166","176","5:30","4:14","12","16","1.09","8.2","8.9","266","5:33","412","0.0","405","569","--","--","--","4,604","--","--","-6","--","No","00:00:03.0","6","--","--","--","--","00:27:30","00:27:31","6","15"
Cardio,2025-01-21 17:39:03,false,"CrossFit","0.00","503","00:35:47","151","185","3.2","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","2,542","--","--","-7","--","No","00:35:47","1","--","--","--","--","00:00:00","00:35:48","--","--"
Hiking,2025-01-20 10:30:04,false,"Esch-sur-Sûre Senderismo","14.09","1,516","04:31:53","100","138","1.2","68","236","19:17","6:00","577","526","0.76","--","--","--","--","--","0.0","--","--","--","--","--","20,710","--","--","-19","--","No","04:31:53","1","--","--","--","--","02:58:58","04:31:53","272","454"
Hiking,2025-01-19 11:24:25,false,"Vianden Senderismo","10.83","1,053","03:18:03","97","132","0.9","71","182","18:16","6:13","248","258","0.77","--","--","--","--","--","0.0","--","--","--","--","--","15,862","--","--","-1","--","No","03:18:03","1","--","--","--","--","02:23:44","03:18:03","205","328"
Hiking,2025-01-18 10:48:49,false,"Parc Hosingen Senderismo","17.80","2,106","05:34:39","110","152","1.8","73","154","18:47","8:33","700","834","0.73","--","--","--","--","--","0.0","--","--","--","--","--","27,498","--","--","-16","--","No","05:34:39","1","--","--","--","--","04:07:34","05:34:39","232","504"
Hiking,2025-01-17 10:34:42,false,"Berdorf Senderismo","19.20","2,421","06:10:06","112","167","2.1","57","226","19:16","4:21","553","599","0.91","--","--","--","--","--","0.0","--","--","--","--","--","25,724","--","--","-27","--","No","06:10:06","1","--","--","--","--","03:38:44","06:10:06","188","378"
Running,2025-01-14 10:54:56,false,"Eindhoven Carrera","4.02","356","00:23:07","151","178","2.9","168","180","5:45","4:55","4","9","1.04","8.4","8.7","266","5:45","399","0.0","393","505","--","--","--","3,874","--","--","-3","--","No","00:00:08.9","5","--","33","24","38","00:23:05","00:23:07","29","38"
Cycling,2025-01-14 09:40:11,false,"Eindhoven Ciclismo","23.14","823","01:06:16","143","161","3.2","--","--","21.0","29.7","40","54","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","--","-6","--","No","00:10:02","5","--","30","19","38","01:02:49","01:06:16","17","41"
Running,2025-01-13 16:41:11,false,"Eindhoven Carrera","22.22","2,076","02:05:03","169","182","5.0","163","176","5:38","3:42","26","28","1.09","8.2","8.9","266","5:37","407","0.0","397","664","--","--","--","20,424","--","--","-20","--","No","00:01:23.0","23","--","--","--","--","02:03:12","02:05:05","11","20"
Padel,2025-01-11 14:12:30,false,"Pádel","0.11","536","01:18:12","109","143","1.1","8","237","0.1","11.5","--","--","0.18","--","--","--","--","--","0.0","--","--","--","--","--","2,220","--","--","-9","--","No","01:18:12","1","--","--","--","--","00:01:37","01:18:12","--","--"
Running,2025-01-08 19:41:25,false,"Eindhoven Carrera","5.00","448","00:25:27","171","185","3.7","170","183","5:06","4:07","14","15","1.15","7.8","9.0","255","5:07","448","0.0","440","625","--","--","--","4,322","--","--","-4","--","No","00:04:33.9","5","--","39","28","43","00:25:25","00:25:27","11","17"
Running,2025-01-05 09:45:41,false,"Eindhoven Carrera","4.87","405","00:22:34","166","186","3.7","171","184","4:38","3:58","4","2","1.26","7.5","9.3","246","4:38","492","0.0","487","627","--","--","--","3,858","--","--","-8","--","No","00:04:00.6","5","--","--","--","--","00:22:33","00:22:34","15","19"
Running,2025-01-04 10:14:28,false,"Eindhoven Carrera","5.03","465","00:28:03","163","176","3.4","168","176","5:35","2:25","7","7","1.06","8.3","8.8","265","5:35","403","0.0","400","669","--","--","--","4,724","--","--","-7","--","No","00:00:06.3","6","--","--","--","--","00:28:03","00:28:03","16","22"
Cardio,2025-01-03 08:07:21,false,"CrossFit","0.00","526","00:39:17","144","179","3.0","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","1,876","--","--","-8","--","No","00:39:17","1","--","--","--","--","00:00:00","00:39:17","--","--"
Running,2025-01-01 19:41:02,false,"Eindhoven Carrera","5.10","477","00:32:01","142","161","3.0","165","176","6:17","5:42","10","13","0.97","8.8","8.5","275","6:16","374","0.0","367","503","--","--","--","5,298","--","--","-5","--","No","00:01:06.5","6","--","--","--","--","00:31:40","00:32:01","11","18"
Running,2024-12-30 19:18:01,false,"Eindhoven Carrera","6.50","532","00:36:54","134","142","3.0","166","174","5:41","4:35","8","8","1.06","8.3","8.9","268","5:39","406","0.0","402","576","--","--","--","6,136","--","--","-5","--","No","00:03:00.6","7","--","--","--","--","00:36:46","00:36:54","12","19"
Strength Training,2024-12-28 10:07:40,false,"Fuerza","0.00","354","00:39:26","117","159","1.7","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","200","100","1","-5","--","No","00:39:26","1","--","--","--","--","00:39:26","00:39:26","--","--"
