Activity Type,Date,Favorite,Title,Distance,Calories,Total Time,Avg HR,Max HR,Aerobic TE,Avg Bike Cadence,Max Bike Cadence,Avg Speed,Max Speed,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg GAP,Normalized Power® (NP®),Training Stress Score®,Avg Power,Max Power,Total Strokes,Avg. Swolf,Avg Stroke Rate,Steps,Total Reps,Total Sets,Body Battery Drain,Min Temp,Decompression,Best Lap Time,Number of Laps,Max Temp,Avg Resp,Min Resp,Max Resp,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Running,2025-10-18 10:14:50,false,"Eindhoven Carrera","5.01","460","00:30:16","151","164","3.4","167","174","6:03","5:16","9","8","0.99","8.6","8.6","272","6:02","368","0.0","366","476","--","--","--","5,056","--","--","-3","--","No","00:00:01.4","6","--","--","--","--","00:30:12","00:30:16","20","24"
Cardio,2025-10-17 09:09:36,false,"CrossFit","0.00","464","00:29:32","157","194","3.8","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","1,722","--","--","-11","--","No","00:29:32","1","--","--","--","--","00:00:00","00:37:14","--","--"
Running,2025-10-10 16:55:10,false,"Eindhoven Carrera","6.01","528","00:34:32","150","165","3.6","159","175","5:45","4:07","3","4","1.10","8.1","8.9","264","5:42","400","0.0","382","557","--","--","--","5,552","--","--","-7","--","No","00:00:02.6","7","--","--","--","--","00:33:46","00:34:32","16","20"
Cardio,2025-10-09 16:38:04,false,"CrossFit","0.00","432","00:31:57","142","185","3.5","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","2,056","--","--","-6","--","No","00:31:57","1","--","--","--","--","00:00:00","00:40:27","--","--"
Cardio,2025-10-07 10:08:34,false,"CrossFit","0.00","468","00:33:01","145","189","3.6","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","2,012","--","--","-11","--","No","00:33:01","1","--","--","--","--","00:00:00","00:37:35","--","--"
Hiking,2025-09-29 10:41:13,false,"Hatsukaichi City Senderismo","7.99","1,464","04:05:49","101","149","2.3","39","187","30:45","6:34","655","227","0.83","--","--","--","--","--","0.0","--","--","--","--","--","13,072","--","--","-24","--","No","04:05:49","1","--","--","--","--","01:45:07","04:05:49","0","531"
Hiking,2025-09-27 10:35:23,false,"Nara City Senderismo","10.19","1,055","04:07:59","86","130","0.6","47","231","24:20","4:28","292","268","0.88","--","--","--","--","--","0.0","--","--","--","--","--","14,414","--","--","-17","--","No","04:07:59","1","--","--","--","--","02:10:03","04:07:59","85","348"
Hiking,2025-09-22 14:14:36,false,"Shirakawa Village Senderismo","5.74","484","02:30:01","77","120","0.3","44","153","26:07","6:05","88","88","0.88","--","--","--","--","--","0.0","--","--","--","--","--","8,398","--","--","-7","--","No","02:30:01","1","--","--","--","--","01:12:14","02:30:01","492","554"
Hiking,2025-09-21 08:31:36,false,"Matsumoto City Senderismo","18.33","1,636","05:50:02","92","169","1.9","67","228","19:05","4:17","146","146","0.78","--","--","--","--","--","0.0","--","--","--","--","--","25,810","--","--","-28","--","No","05:50:02","1","--","--","--","--","03:49:40","05:50:02","1,497","1,540"
Hiking,2025-09-17 10:07:19,false,"Nikko City Senderismo","9.53","1,031","03:31:41","92","151","1.1","55","200","22:13","5:38","243","65","0.82","--","--","--","--","--","0.0","--","--","--","--","--","13,450","--","--","-12","--","No","03:31:41","1","--","--","--","--","01:59:00","03:31:41","1,316","1,499"
Hiking,2025-09-15 09:16:22,false,"Kamakura City Senderismo","9.98","1,300","04:15:54","94","150","1.3","46","160","25:38","6:26","306","291","0.85","--","--","--","--","--","0.0","--","--","--","--","--","15,102","--","--","-14","--","No","04:15:54","1","--","--","--","--","02:05:57","04:56:14","8","143"
Cardio,2025-09-11 09:09:31,false,"CrossFit","0.00","530","00:33:10","158","182","3.6","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","2,800","--","--","-8","--","No","00:33:10","1","--","--","--","--","00:00:00","00:37:52","--","--"
