Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg GAP,Avg Run Cadence,Max Run Cadence,Normalized Power® (NP®),Training Stress Score®,Max Avg Power (20 min),Avg Power,Max Power,Total Strokes,Avg. Swolf,Avg Stroke Rate,Steps,Total Reps,Total Sets,Body Battery Drain,Min Temp,Decompression,Best Lap Time,Number of Laps,Max Temp,Avg Resp,Min Resp,Max Resp,Stress Change,Stress Start,Stress End,Avg Stress,Max Stress,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Running,2025-11-23 09:39:02,false,"Eindhoven Running","32.04","2,099","03:16:17","137","151","4.8","165","179","6:08","3:59","159","125","0.99","8.9","8.8","270","6:05","--","--","277","0.0","--","270","421","--","--","--","32,456","--","--","-35","--","No","00:00:12.6","33","--","32","22","42","--","--","--","--","--","03:15:55","03:16:17","-11","31"
Running,2025-11-22 10:10:19,false,"Eindhoven Running","5.02","346","00:30:22","138","144","2.8","167","174","6:03","5:28","24","14","0.99","9.0","9.0","272","6:01","--","--","276","0.0","--","273","366","--","--","--","5,060","--","--","-8","--","No","00:00:05.8","6","--","--","--","--","--","--","--","--","--","00:30:21","00:30:22","9","25"
Running,2025-11-20 19:29:24,false,"Eindhoven - 2x3k MP","10.04","657","00:53:36","148","162","3.9","164","173","5:20","4:45","30","18","1.13","8.5","9.6","264","5:20","--","--","306","0.0","--","302","420","--","--","--","8,864","--","--","-11","--","No","00:00:14.2","11","--","30","17","43","--","--","--","--","--","00:53:28","00:55:43","-1","27"
Strength Training,2025-11-19 21:36:49,false,"Strength","0.00","151","00:35:37","89","122","0.3","--","--","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","112","56","10","-2","--","No","00:35:37","1","--","--","--","--","--","--","--","--","--","00:25:52","00:35:37","--","--"
Running,2025-11-18 19:06:12,false,"Eindhoven Running","5.02","332","00:30:18","132","139","2.6","163","172","6:02","4:50","42","24","1.02","9.1","9.2","275","5:58","--","--","282","0.0","--","278","399","--","--","--","4,964","--","--","--","--","No","00:00:08.7","6","--","31","23","35","--","--","--","--","--","00:30:12","00:30:18","1","27"
Running,2025-11-16 16:19:07,false,"Eindhoven Running","30.04","1,941","03:05:38","134","142","4.4","163","174","6:11","4:08","86","71","0.99","9.1","9.0","274","6:09","--","--","267","0.0","--","262","417","--","--","--","30,342","--","--","-28","--","No","00:00:14.9","31","--","31","18","39","--","--","--","--","--","03:04:57","03:07:28","2","31"
Running,2025-11-14 11:31:03,false,"Eindhoven Running","6.02","450","00:37:20","156","169","3.3","158","209","6:12","4:36","14","9","1.03","9.0","9.2","274","6:08","--","--","271","0.0","--","262","370","--","--","--","5,902","--","--","-6","--","No","00:00:12.4","7","--","--","--","--","--","--","--","--","--","00:36:32","00:37:20","11","20"
Running,2025-11-13 16:21:48,false,"Eindhoven - 5k Marathon Pace","10.04","662","00:53:38","150","163","3.9","165","240","5:21","4:35","16","11","1.13","8.5","9.7","265","5:21","--","--","305","0.0","--","302","383","--","--","--","8,832","--","--","-10","--","No","00:00:14.7","12","--","31","17","40","--","--","--","--","--","00:53:36","00:54:22","14","25"
Running,2025-11-11 22:07:06,false,"Eindhoven Running","6.03","386","00:35:34","128","136","2.7","163","171","5:54","4:56","22","4","1.04","9.0","9.3","275","5:53","--","--","284","0.0","--","283","358","--","--","--","5,794","--","--","-6","--","No","00:00:09.3","7","--","--","--","--","--","--","--","--","--","00:35:32","00:36:02","1","23"
Running,2025-11-09 14:51:59,false,"Eindhoven - Long run","28.04","1,832","02:47:34","134","143","4.5","165","209","5:59","3:53","48","38","1.02","8.8","8.9","268","5:57","--","--","276","0.0","--","271","435","--","--","--","27,730","--","--","-31","--","No","00:00:15.6","29","--","32","17","41","--","--","--","--","--","02:47:01","02:48:49","7","29"
Running,2025-11-08 10:13:34,false,"Eindhoven Running","5.02","351","00:29:49","142","149","3.0","168","176","5:56","4:01","19","9","1.00","9.0","9.0","271","5:57","--","--","276","0.0","--","274","438","--","--","--","4,992","--","--","-8","--","No","00:00:07.3","6","--","--","--","--","--","--","--","--","--","00:29:48","00:29:49","12","22"
Running,2025-11-06 18:29:23,false,"Eindhoven - Intervals","11.03","707","00:56:07","150","165","4.2","168","212","5:05","4:27","20","12","1.17","8.1","9.4","254","5:06","--","--","326","0.0","--","318","378","--","--","--","9,408","--","--","-10","--","No","00:02:17.9","13","--","30","17","38","--","--","--","--","--","00:56:01","00:58:20","10","27"
Indoor Cycling,2025-11-05 19:38:33,false,"Indoor Cycling","13.07","274","00:30:02","116","135","2.1","--","--","26.1","27.6","--","--","--","--","--","--","--","79","87","129","60.9","129","129","144","2397","--","--","--","--","--","-3","--","No","00:07:02.3","3","--","--","--","--","--","--","--","--","--","00:30:00","00:30:02","--","--"
Running,2025-11-04 17:58:53,false,"Eindhoven Running","9.02","588","00:54:22","131","150","3.1","163","179","6:02","4:23","18","17","1.01","9.0","9.1","272","6:02","--","--","277","0.0","--","273","482","--","--","--","8,898","--","--","-11","--","No","00:00:15.5","16","--","32","16","38","--","--","--","--","--","00:53:54","00:55:17","15","29"
Running,2025-11-02 12:51:12,false,"Eindhoven Running","25.05","1,634","02:23:39","138","148","4.5","167","176","5:44","4:16","89","80","1.05","8.7","9.1","266","5:43","--","--","289","0.0","--","286","410","--","--","--","23,906","--","--","-34","--","No","00:00:16.1","26","--","30","20","38","--","--","--","--","--","02:23:04","02:23:39","10","32"
