Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg GAP,Avg Run Cadence,Max Run Cadence,Normalized Power® (NP®),Training Stress Score®,Max Avg Power (20 min),Avg Power,Max Power,Total Strokes,Avg. Swolf,Avg Stroke Rate,Steps,Total Reps,Total Sets,Body Battery Drain,Min Temp,Decompression,Best Lap Time,Number of Laps,Max Temp,Avg Resp,Min Resp,Max Resp,Stress Change,Stress Start,Stress End,Avg Stress,Max Stress,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Strength Training,2025-09-19 17:28:35,false,"Strength","0.00","132","00:26:44","96","118","0.4","--","--","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","18","9","2","-2","--","No","00:26:44","1","--","--","--","--","--","--","--","--","--","00:24:24","00:26:44","--","--"
Cycling,2025-09-19 15:04:17,false,"Eindhoven Cycling","41.38","567","01:40:06","109","123","1.8","--","--","24.8","38.5","145","147","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","--","--","-8","--","No","00:03:47.7","9","--","21","13","29","--","--","--","--","--","01:38:27","01:40:06","17","30"
Running,2025-09-18 18:39:03,false,"Eindhoven Running","8.05","514","00:51:14","125","133","2.6","162","214","6:22","5:22","20","19","0.98","9.1","8.9","274","6:20","--","--","262","0.0","--","255","342","--","--","--","8,246","--","--","-10","--","No","00:00:21.2","9","--","--","--","--","--","--","--","--","--","00:49:50","00:51:14","12","21"
Indoor Cycling,2025-09-17 18:20:04,false,"Indoor Cycling","9.74","286","00:30:05","111","119","2.1","--","--","19.4","20.8","--","--","--","--","--","--","--","84","90","138","22.9","141","136","167","2535","--","--","--","--","--","-4","--","No","00:14:16","2","--","--","--","--","--","--","--","--","--","00:30:05","00:30:05","--","--"
Running,2025-09-16 18:36:41,false,"Eindhoven - Intervals","11.06","702","00:55:43","154","176","4.2","165","184","5:02","3:37","28","14","1.18","8.2","9.4","255","5:01","--","--","341","0.0","--","321","484","--","--","--","9,384","--","--","-13","--","No","00:00:02.2","21","--","31","17","39","--","--","--","--","--","00:55:33","00:57:15","8","26"
Running,2025-09-16 11:44:35,false,"Eindhoven Running","2.21","119","00:10:19","135","158","2.3","167","176","4:40","3:44","29","6","1.26","7.8","9.8","246","4:37","--","--","375","0.0","--","378","542","--","--","--","1,726","--","--","-5","--","No","00:00:07.1","7","--","--","--","--","--","--","--","--","--","00:10:16","00:28:34","19","28"
Yoga,2025-09-14 22:22:07,false,"Yoga","--","46","00:22:23","70","101","0.0","--","--","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","--","1","--","--","No","00:22:23","1","--","13","5","19","-7","71","64","47","83","00:22:23","00:22:23","--","--"
Running,2025-09-14 16:54:21,false,"Eindhoven - Long run","16.06","1,041","01:22:25","155","171","5.0","171","181","5:08","3:16","28","23","1.13","8.2","9.2","254","5:08","--","--","318","0.0","--","310","500","--","--","--","14,072","--","--","-16","--","No","00:00:21.0","17","--","33","19","46","--","--","--","--","--","01:22:22","01:22:25","15","29"
Running,2025-09-13 11:04:38,false,"Eindhoven - Easy","10.14","640","00:58:00","136","143","3.2","168","172","5:43","5:09","35","26","1.04","8.8","9.1","267","5:43","--","--","283","0.0","--","282","355","--","--","--","9,720","--","--","-14","--","No","00:00:44.8","11","--","31","23","35","--","--","--","--","--","00:57:58","00:58:14","9","29"
Strength Training,2025-09-12 16:50:47,false,"Strength","0.00","167","00:29:22","102","134","0.8","--","--","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","224","112","8","-4","--","No","00:29:22","1","--","--","--","--","--","--","--","--","--","00:15:34","00:29:22","--","--"
Running,2025-09-11 17:40:55,false,"Eindhoven - Easy","7.38","470","00:41:57","137","143","3.0","169","175","5:41","5:16","21","18","1.04","8.7","9.1","266","5:42","--","--","283","0.0","--","282","359","--","--","--","7,062","--","--","-10","--","No","00:02:04.7","8","--","30","17","34","--","--","--","--","--","00:41:55","00:42:36","14","26"
Strength Training,2025-09-10 19:31:46,false,"Strength","0.00","50","00:14:43","81","129","0.2","--","--","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","58","29","5","-1","--","No","00:14:43","1","--","--","--","--","--","--","--","--","--","00:04:29.0","00:14:43","--","--"
Indoor Cycling,2025-09-10 18:09:50,false,"Indoor Cycling","27.48","591","01:00:31","114","123","2.5","--","--","27.2","27.7","--","--","--","--","--","--","--","85","91","141","48.5","144","140","148","5146","--","--","--","--","--","-8","--","No","00:05:24.3","6","--","--","--","--","--","--","--","--","--","01:00:22","01:00:31","--","--"
Running,2025-09-09 17:47:22,false,"Eindhoven - Intervals","10.72","675","00:52:56","155","176","4.4","171","181","4:56","3:41","27","23","1.18","8.0","9.3","249","4:56","--","--","333","0.0","--","321","491","--","--","--","8,998","--","--","-13","--","No","00:00:15.9","19","--","32","16","40","--","--","--","--","--","00:52:37","00:55:10","10","28"
Running,2025-09-07 10:58:23,false,"Eindhoven Running","12.05","762","01:09:10","137","144","3.4","168","176","5:44","4:40","49","40","1.02","8.7","8.9","264","5:44","--","--","283","0.0","--","282","379","--","--","--","11,744","--","--","-17","--","No","00:00:19.5","13","--","32","20","38","--","--","--","--","--","01:09:07","01:10:05","12","28"
Running,2025-09-06 10:13:28,false,"Eindhoven Running","5.05","342","00:30:29","139","147","2.8","167","174","6:03","5:21","11","8","0.99","9.0","8.9","270","6:02","--","--","266","0.0","--","265","324","--","--","--","5,082","--","--","-8","--","No","00:00:16.1","6","--","--","--","--","--","--","--","--","--","00:30:22","00:30:29","14","19"
Strength Training,2025-09-05 15:23:47,false,"Strength","0.00","304","00:49:06","110","143","1.4","--","--","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","106","53","8","-4","--","No","00:49:06","1","--","--","--","--","--","--","--","--","--","00:32:10","00:49:06","--","--"
Running,2025-09-04 18:25:37,false,"Eindhoven - Intervals","9.06","571","00:48:30","147","171","3.6","169","179","5:21","3:53","9","10","1.10","8.5","9.3","261","5:22","--","--","307","0.0","--","297","431","--","--","--","8,154","--","--","-8","--","No","00:00:20.8","12","--","28","19","38","--","--","--","--","--","00:48:27","00:48:30","13","22"
Running,2025-09-02 17:31:22,false,"Eindhoven - Short easy","6.06","390","00:36:32","131","140","2.8","161","174","6:02","4:43","7","8","1.03","8.9","9.2","269","6:00","--","--","279","0.0","--","270","351","--","--","--","5,868","--","--","-6","--","No","00:00:19.9","7","--","31","18","38","--","--","--","--","--","00:35:12","00:36:32","15","20"
Cycling,2025-08-31 16:06:38,false,"Valkenswaard Cycling","17.72","364","01:06:56","98","139","1.3","--","--","15.9","25.4","18","26","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","--","--","-4","--","No","00:11:54","4","--","--","--","--","--","--","--","--","--","01:04:01","01:06:56","13","29"
Cycling,2025-08-31 13:42:08,false,"Eindhoven Cycling","18.59","498","00:49:29","125","138","2.7","--","--","22.5","33.3","62","47","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","--","--","-7","--","No","00:09:08.5","4","--","--","--","--","--","--","--","--","--","00:48:16","00:49:29","13","29"
Running,2025-08-31 10:11:56,false,"Eindhoven - Long Run","16.08","1,067","01:26:43","154","176","4.8","171","184","5:24","4:05","21","20","1.08","8.4","9.0","258","5:24","--","--","307","0.0","--","299","396","--","--","--","14,800","--","--","-24","--","No","00:00:25.6","17","--","30","20","40","--","--","--","--","--","01:26:40","01:26:43","19","29"
Running,2025-08-30 10:14:36,false,"Eindhoven Running","8.11","560","00:48:38","142","157","3.3","170","184","6:00","4:15","15","16","0.98","8.9","8.7","268","6:03","--","--","271","0.0","--","269","413","--","--","--","8,210","--","--","-13","--","No","00:00:16.1","18","--","--","--","--","--","--","--","--","--","00:48:34","00:48:38","15","21"
Running,2025-08-28 08:59:01,false,"Ljubljana Running","8.06","564","00:50:08","145","161","3.2","165","179","6:13","4:25","20","16","0.97","9.2","8.9","277","6:16","--","--","260","0.0","--","259","375","--","--","--","8,234","--","--","-12","--","No","00:00:15.1","18","--","--","--","--","--","--","--","--","--","00:50:02","00:50:29","275","289"
eMountain Biking,2025-08-26 18:19:05,false,"Bled eMountain Biking","5.76","119","00:18:12","99","128","0.6","--","--","19.0","42.5","90","25","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","--","--","-1","--","No","00:02:13.7","2","--","--","--","--","--","--","--","--","--","00:16:28","00:18:12","417","483"
Running,2025-08-26 16:35:02,false,"Bled Running","8.06","590","00:57:06","134","151","3.1","146","223","7:05","4:54","175","168","0.97","8.9","8.4","278","6:34","--","--","249","0.0","--","234","401","--","--","--","8,454","--","--","-9","--","No","00:00:34.3","9","--","--","--","--","--","--","--","--","--","00:56:04","00:58:26","415","502"
eMountain Biking,2025-08-26 13:35:04,false,"Bled eMountain Biking","21.19","404","01:26:12","90","119","0.7","--","--","14.7","48.5","252","326","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","--","--","-11","--","No","00:04:25.1","5","--","--","--","--","--","--","--","--","--","01:07:23","02:53:23","422","530"
eMountain Biking,2025-08-25 10:20:27,false,"Bled eMountain Biking","83.67","1,614","04:48:51","102","145","2.2","--","--","17.4","56.3","1,185","1,169","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","--","--","-37","--","No","00:08:46.4","17","--","--","--","--","--","--","--","--","--","04:09:53","07:19:38","475","1,083"
Running,2025-08-24 17:57:38,false,"Bled Running","4.06","275","00:25:30","135","148","2.4","165","172","6:17","5:04","59","65","0.97","9.3","9.0","278","6:11","--","--","269","0.0","--","266","342","--","--","--","4,182","--","--","-5","--","No","00:00:24.4","5","--","--","--","--","--","--","--","--","--","00:25:29","00:25:30","481","516"
Running,2025-08-23 10:02:00,false,"Bled Running","15.24","1,097","01:45:10","138","168","3.6","153","231","6:54","5:08","229","249","0.95","9.0","8.5","274","6:35","--","--","256","0.0","--","238","412","--","--","--","16,128","--","--","-22","--","No","00:01:30.6","16","--","--","--","--","--","--","--","--","--","01:41:31","01:45:10","432","571"
Running,2025-08-21 18:30:57,false,"Eindhoven - Recovery","7.06","454","00:40:51","135","143","3.0","167","174","5:47","4:56","15","15","1.04","8.9","9.2","269","5:48","--","--","283","0.0","--","283","390","--","--","--","6,804","--","--","-8","--","No","00:00:17.4","8","--","30","19","37","--","--","--","--","--","00:40:47","00:42:11","10","15"
Indoor Cycling,2025-08-20 19:33:53,false,"Indoor Cycling","24.03","557","01:00:08","116","128","2.4","--","--","24.0","27.6","--","--","--","--","--","--","--","84","92","133","39.6","138","132","171","5098","--","--","--","--","--","-6","--","No","00:08:46.8","5","--","21","15","28","--","--","--","--","--","01:00:06","01:00:39","--","--"
Running,2025-08-19 10:39:57,false,"Eindhoven - 5x1000","11.05","748","00:57:45","161","184","4.6","170","179","5:13","4:05","12","10","1.12","8.3","9.3","257","5:13","--","--","319","0.0","--","308","406","--","--","--","9,782","--","--","-21","--","No","00:02:00","15","--","33","23","43","--","--","--","--","--","00:57:38","00:58:20","21","28"
Strength Training,2025-08-18 19:56:58,false,"Strength","0.00","250","00:46:18","103","140","0.9","--","--","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","182","91","10","-3","--","No","00:46:18","1","--","--","--","--","--","--","--","--","--","00:29:15","00:46:18","--","--"
Yoga,2025-08-18 13:08:51,false,"Yoga","--","31","00:15:46","68","91","0.0","--","--","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","--","1","--","--","No","00:15:46","1","--","14","7","19","-57","87","30","51","88","00:15:46","00:15:46","--","--"
Running,2025-08-17 11:11:50,false,"Eindhoven - Long Run","12.10","770","01:09:18","137","145","3.4","170","177","5:44","4:18","11","7","1.03","8.7","9.0","265","5:44","--","--","280","0.0","--","280","411","--","--","--","11,728","--","--","-18","--","No","00:00:33.4","13","--","31","19","39","--","--","--","--","--","01:09:14","01:12:07","18","25"
Running,2025-08-16 10:21:05,false,"Eindhoven Running","7.06","473","00:42:41","138","143","3.0","168","174","6:03","5:27","6","4","0.99","9.0","8.9","272","6:02","--","--","267","0.0","--","267","311","--","--","--","7,132","--","--","-10","--","No","00:00:22.4","8","--","--","--","--","--","--","--","--","--","00:42:39","00:42:41","19","25"
Other,2025-08-15 17:45:32,false,"Bouldering","0.00","434","01:32:15","99","177","0.9","6","225","--","--","--","--","0.00","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","1,100","--","--","-6","--","No","01:32:15","1","--","--","--","--","--","--","--","--","--","00:00:00","01:32:15","--","--"
Cycling,2025-08-15 11:13:03,false,"Eindhoven Cycling","35.44","608","01:20:41","119","133","2.4","--","--","26.4","37.4","119","122","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","--","--","-12","--","No","00:00:52.3","8","--","26","16","37","--","--","--","--","--","01:20:32","01:20:41","14","25"
Strength Training,2025-08-14 20:31:47,false,"Strength","0.00","218","00:36:15","107","136","1.1","--","--","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","220","110","9","-4","--","No","00:36:15","1","--","--","--","--","--","--","--","--","--","00:21:57","00:36:15","--","--"
Running,2025-08-14 19:10:09,false,"Eindhoven Running","6.07","405","00:37:47","134","142","2.7","159","173","6:14","4:41","9","12","1.01","9.1","9.2","275","6:13","--","--","265","0.0","--","260","366","--","--","--","6,004","--","--","-8","--","No","00:00:23.5","7","--","28","19","35","--","--","--","--","--","00:36:39","00:37:47","11","16"
Cycling,2025-08-13 19:36:02,false,"Eindhoven Cycling","40.95","707","01:46:57","110","126","2.1","--","--","23.0","32.1","117","124","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","--","--","-6","--","No","00:02:32.4","9","--","--","--","--","--","--","--","--","--","01:45:21","02:07:30","11","30"
Yoga,2025-08-12 21:21:31,false,"Yoga","--","35","00:18:20","68","89","0.0","--","--","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","--","1","-1","--","No","00:18:20","1","--","13","8","18","28","46","74","44","79","00:18:20","00:18:20","--","--"
Running,2025-08-12 08:44:57,false,"Eindhoven - Intervals","12.28","820","01:05:17","157","180","4.5","171","189","5:19","3:41","18","12","1.10","8.4","9.1","257","5:18","--","--","317","0.0","--","305","450","--","--","--","11,056","--","--","-19","--","No","00:00:05.4","38","--","32","17","43","--","--","--","--","--","01:04:59","01:06:48","16","27"
Running,2025-08-10 09:55:27,false,"Eindhoven Running","7.05","478","00:41:36","143","150","3.1","168","174","5:54","5:14","8","10","1.02","8.9","9.1","270","5:54","--","--","272","0.0","--","272","327","--","--","--","6,936","--","--","-10","--","No","00:00:18.1","8","--","33","20","48","--","--","--","--","--","00:41:33","00:43:33","16","22"
Running,2025-08-09 09:57:08,false,"Eindhoven Running","5.10","367","00:32:12","145","156","3.0","161","174","6:19","3:40","3","6","0.99","9.1","9.0","274","6:19","--","--","260","0.0","--","254","472","--","--","--","5,186","--","--","-8","--","No","00:00:36.5","6","--","--","--","--","--","--","--","--","--","00:31:16","00:37:13","13","24"
Other,2025-08-08 18:20:13,false,"Bouldering","0.00","362","01:27:55","91","141","0.5","8","214","--","--","--","--","0.00","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","1,346","--","--","-4","--","No","01:27:55","1","--","--","--","--","--","--","--","--","--","00:00:00","01:27:55","--","--"
Cycling,2025-08-08 10:46:21,false,"Eindhoven Cycling","40.50","789","01:29:19","126","142","2.8","--","--","27.2","34.6","67","63","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","--","--","--","--","No","00:01:17.0","9","--","23","13","32","--","--","--","--","--","01:28:16","01:57:22","15","31"
Yoga,2025-08-07 21:07:14,false,"Yoga","--","46","00:22:07","67","96","0.1","--","--","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","--","1","-1","--","No","00:22:07","1","--","13","9","19","4","81","85","43","93","00:22:07","00:22:07","--","--"
Running,2025-08-07 17:58:02,false,"Eindhoven Running","6.81","450","00:40:06","137","163","3.0","166","186","5:53","3:58","7","9","1.03","8.9","9.1","271","5:54","--","--","280","0.0","--","277","408","--","--","--","6,632","--","--","-7","--","No","00:00:30.6","9","--","--","--","--","--","--","--","--","--","00:40:01","00:40:06","13","19"
Indoor Cycling,2025-08-06 20:57:47,false,"Indoor Cycling","15.86","465","00:50:05","121","130","2.3","--","--","19.0","20.4","--","--","--","--","--","--","--","79","85","133","33.0","138","132","159","3969","--","--","--","--","--","-5","--","No","00:02:44.3","4","--","--","--","--","--","--","--","--","--","00:50:04","00:50:05","--","--"
Strength Training,2025-08-05 17:36:47,false,"Strength","0.00","349","00:51:14","115","147","2.0","--","--","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","124","62","10","-4","--","No","00:51:14","1","--","--","--","--","--","--","--","--","--","00:31:05","00:51:14","--","--"
Running,2025-08-05 15:09:49,false,"Eindhoven - Sprint","7.42","493","00:43:39","146","180","3.2","167","240","5:53","2:22","18","18","1.01","9.0","8.9","271","5:54","--","--","296","0.0","--","283","659","--","--","--","7,208","--","--","-10","--","No","00:00:09.5","17","--","28","20","40","--","--","--","--","--","00:43:36","00:43:39","14","20"
Running,2025-08-03 10:32:04,false,"Eindhoven Running","12.11","804","01:20:39","134","146","3.1","164","171","6:40","4:06","20","21","0.92","9.5","8.7","280","6:40","--","--","249","0.0","--","246","466","--","--","--","13,220","--","--","-14","--","No","00:00:43.2","13","--","--","--","--","--","--","--","--","--","01:20:04","01:20:39","17","24"
Yoga,2025-08-02 15:57:43,false,"Yoga","--","58","00:18:20","82","100","0.1","--","--","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","--","1","-2","--","No","00:18:20","1","--","15","9","21","-6","93","87","80","95","00:18:20","00:18:20","--","--"
Running,2025-08-02 10:12:01,false,"Eindhoven Running","5.28","346","00:26:59","154","179","3.5","170","188","5:06","3:39","7","9","1.15","8.2","9.5","256","5:08","--","--","322","0.0","--","320","486","--","--","--","4,554","--","--","-7","--","No","00:00:19.0","9","--","--","--","--","--","--","--","--","--","00:26:57","00:26:59","16","21"
Other,2025-08-01 17:57:27,false,"Bouldering","0.00","321","01:11:30","96","131","0.5","4","156","--","--","--","--","0.00","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","856","--","--","-4","--","No","01:11:30","1","--","--","--","--","--","--","--","--","--","00:00:00","01:11:30","--","--"
Indoor Cycling,2025-07-31 19:29:09,false,"ez spin","25.90","554","01:00:07","115","124","2.3","--","--","25.9","27.6","--","--","--","--","--","--","--","76","87","133","39.5","137","131","139","4596","--","--","--","--","--","-5","--","No","00:00:06.9","7","--","20","14","30","--","--","--","--","--","01:00:04","01:00:07","--","--"
Running,2025-07-30 18:07:21,false,"Eindhoven Running","7.86","532","00:47:38","141","148","3.1","166","170","6:04","5:11","16","12","1.00","9.1","9.1","275","6:03","--","--","277","0.0","--","274","391","--","--","--","7,874","--","--","-8","--","No","00:05:16.0","8","--","--","--","--","--","--","--","--","--","00:47:36","00:47:38","19","25"
Running,2025-07-29 18:09:52,false,"Eindhoven - Threshold","9.69","632","00:50:20","154","168","4.1","169","177","5:12","4:23","8","5","1.13","8.3","9.4","257","5:12","--","--","316","0.0","--","310","382","--","--","--","8,496","--","--","-9","--","No","00:00:19.8","16","--","30","15","40","--","--","--","--","--","00:50:14","00:51:41","17","22"
Running,2025-07-29 12:40:15,false,"Eindhoven Running","0.50","27","00:02:10.0","145","161","1.5","155","188","4:22","3:08","--","--","1.48","6.7","9.8","220","4:13","--","--","351","0.0","--","360","539","--","--","--","338","--","--","--","--","No","00:02:10.0","1","--","--","--","--","--","--","--","--","--","00:02:01","00:02:44.5","18","19"
Strength Training,2025-07-28 17:53:55,false,"Strength","0.00","250","00:35:00","114","137","1.6","--","--","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","144","72","8","--","--","No","00:35:00","1","--","--","--","--","--","--","--","--","--","00:22:35","00:35:00","--","--"
Yoga,2025-07-27 21:32:22,false,"Yoga","--","28","00:12:01","74","94","0.0","--","--","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","--","1","--","--","No","00:12:01","1","--","13","8","18","0","63","63","57","82","00:12:01","00:12:01","--","--"
Running,2025-07-27 11:18:24,false,"Eindhoven Running","11.42","778","01:08:43","145","157","3.5","168","176","6:01","4:54","2","8","0.99","9.0","8.9","271","6:02","--","--","268","0.0","--","267","340","--","--","--","11,498","--","--","-18","--","No","00:02:30.0","12","--","--","--","--","--","--","--","--","--","01:08:39","01:10:24","17","25"
Cycling,2025-07-26 14:08:42,false,"Eindhoven Cycling","50.81","816","02:05:57","117","136","2.5","--","--","24.2","34.7","170","168","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","--","--","-11","--","No","00:02:44.6","11","--","21","12","30","--","--","--","--","--","01:59:00","02:07:06","11","25"
Running,2025-07-26 10:15:54,false,"Eindhoven Running","5.35","372","00:31:50","147","172","3.2","166","188","5:57","3:41","6","5","1.01","9.0","9.1","273","5:58","--","--","275","0.0","--","272","438","--","--","--","5,266","--","--","-10","--","No","00:01:26.1","6","--","--","--","--","--","--","--","--","--","00:31:48","00:31:50","15","20"
Strength Training,2025-07-25 19:00:22,false,"Strength","0.00","186","00:29:37","107","142","0.9","--","--","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","204","102","8","-3","--","No","00:29:37","1","--","--","--","--","--","--","--","--","--","00:16:48","00:29:37","--","--"
Other,2025-07-25 15:20:08,false,"Bouldering","0.00","140","00:28:49","96","134","0.5","12","158","--","--","--","--","0.00","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","600","--","--","-2","--","No","00:28:49","1","--","--","--","--","--","--","--","--","--","00:00:00","00:28:49","--","--"
Running,2025-07-24 18:23:11,false,"Eindhoven - Base","6.89","446","00:40:11","136","143","3.0","166","171","5:50","4:33","5","4","1.03","8.9","9.2","271","5:51","--","--","282","0.0","--","281","418","--","--","--","6,652","--","--","-9","--","No","00:00:10.9","8","--","28","18","34","--","--","--","--","--","00:40:09","00:40:23","18","22"
Running,2025-07-23 18:05:08,false,"Eindhoven - Threshold","8.71","555","00:45:12","150","166","4.1","168","231","5:12","4:25","5","6","1.13","8.3","9.3","257","5:12","--","--","322","0.0","--","314","392","--","--","--","7,652","--","--","-11","--","No","00:00:12.5","13","--","29","19","37","--","--","--","--","--","00:45:08","00:45:44","17","22"
Cycling,2025-07-22 20:47:52,false,"Valkenswaard Cycling","15.02","318","00:36:07","121","152","2.2","--","--","24.9","40.1","33","42","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","--","--","-5","--","No","00:00:06.6","4","--","22","13","30","--","--","--","--","--","00:35:07","00:36:55","17","31"
Cycling,2025-07-22 19:13:30,false,"Eindhoven Cycling","21.13","482","00:53:38","123","145","2.7","--","--","23.6","39.1","81","74","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","--","--","-7","--","No","00:07:14.8","5","--","24","13","35","--","--","--","--","--","00:48:37","00:53:38","15","30"
Strength Training,2025-07-21 19:02:11,false,"Strength","0.00","267","00:43:50","108","145","1.7","--","--","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","180","90","8","-3","--","No","00:43:50","1","--","--","--","--","--","--","--","--","--","00:23:57","00:43:50","--","--"
Running,2025-07-20 17:49:32,false,"Eindhoven Running","10.23","665","01:01:39","135","142","3.2","167","174","6:02","4:40","8","9","1.00","9.0","9.0","272","6:02","--","--","273","0.0","--","272","391","--","--","--","10,244","--","--","-12","--","No","00:01:18.6","11","--","31","19","38","--","--","--","--","--","01:01:31","01:02:28","15","24"
Running,2025-07-19 10:17:27,false,"Eindhoven Running","4.99","339","00:26:00","156","174","3.5","170","177","5:13","4:20","7","8","1.13","8.3","9.4","257","5:13","--","--","312","0.0","--","311","409","--","--","--","4,408","--","--","-8","--","No","00:04:43.4","5","--","--","--","--","--","--","--","--","--","00:25:58","00:26:00","17","21"
Cycling,2025-07-18 13:23:39,false,"Eindhoven Cycling","46.58","699","01:48:45","114","127","2.2","--","--","25.7","36.6","132","131","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","--","--","-10","--","No","00:04:04.3","10","--","22","12","34","--","--","--","--","--","01:47:15","01:52:19","13","31"
Running,2025-07-17 18:25:59,false,"Eindhoven Running","8.30","542","00:48:27","137","146","3.2","168","174","5:50","4:28","4","2","1.02","8.9","9.0","268","5:52","--","--","280","0.0","--","279","413","--","--","--","8,130","--","--","-9","--","No","00:01:44.3","9","--","30","20","36","--","--","--","--","--","00:48:23","00:49:18","17","22"
Virtual Cycling,2025-07-16 18:08:32,false,"ROUVY - Aerobic Ride | Trek Travel","14.38","444","01:00:00","110","120","2.4","--","--","14.4","57.9","516","52","--","--","--","--","--","78","95","131","39.0","136","129","149","--","--","--","--","--","--","--","--","No","00:01:00.0","34","--","--","--","--","--","--","--","--","--","00:59:58","01:00:00","436","891"
Yoga,2025-07-15 21:50:34,false,"Yoga","--","61","00:28:15","72","127","0.1","--","--","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","--","1","--","--","No","00:28:15","1","--","14","8","22","-11","96","85","59","96","00:28:15","00:28:15","--","--"
Running,2025-07-15 13:56:34,false,"Eindhoven Running","8.10","541","00:50:19","137","146","3.0","167","177","6:13","3:56","10","4","0.97","9.2","8.9","275","6:12","--","--","266","0.0","--","265","414","--","--","--","8,362","--","--","-12","--","No","00:00:36.2","9","--","28","17","34","--","--","--","--","--","00:50:15","00:52:11","17","26"
Running,2025-07-13 09:24:51,false,"Eindhoven Running","7.51","502","00:45:52","138","148","3.0","168","174","6:06","5:12","4","3","0.98","9.1","8.9","272","6:06","--","--","264","0.0","--","263","329","--","--","--","7,666","--","--","-13","--","No","00:03:05.1","8","--","29","20","36","--","--","--","--","--","00:45:50","00:45:52","20","25"
Strength Training,2025-07-12 16:23:29,false,"Strength","0.00","209","00:33:37","106","136","1.1","--","--","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","144","72","8","-3","--","No","00:33:37","1","--","--","--","--","--","--","--","--","--","00:21:52","00:33:37","--","--"
Running,2025-07-12 10:13:29,false,"Eindhoven Running","5.06","342","00:29:19","140","148","3.0","168","175","5:48","5:05","8","7","1.03","8.8","9.1","268","5:49","--","--","281","0.0","--","279","342","--","--","--","4,914","--","--","-9","--","No","00:00:20.2","6","--","--","--","--","--","--","--","--","--","00:29:18","00:29:19","17","21"
Yoga,2025-07-11 21:59:41,false,"Yoga","--","17","00:11:44","61","87","0.0","--","--","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","--","1","-1","--","No","00:11:44","1","--","13","9","18","-12","29","17","30","66","00:11:44","00:11:44","--","--"
Cycling,2025-07-11 16:21:45,false,"'s-Hertogenbosch Cycling","41.57","642","01:39:18","113","128","2.1","--","--","25.1","34.1","117","100","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","--","--","-8","--","No","00:04:35.7","9","--","22","15","31","--","--","--","--","--","01:36:32","01:39:18","2","21"
